"","sim.num","sample.num","tru.tot","meas.tot"
"168",42,4,324.054478429772,329.354444233151
"169",43,1,111.759990191052,97.9945592995691
"170",43,2,160.139638541101,171.936065981393
"171",43,3,232.661564723696,251.687969709733
"172",43,4,512.627719743386,528.000304956493
"173",44,1,195.687584180902,212.301330789949
"174",44,2,229.07781622865,226.770401673781
"175",44,3,310.676185807796,303.906499290799
"176",44,4,290.18063848377,324.586367794539
"177",45,1,568.51070312468,572.289508607421
"178",45,2,180.945472453465,183.692706861345
"179",45,3,458.782395041213,492.339058072149
"180",45,4,139.238996918569,142.072207680994
"181",46,1,220.768145456508,207.54580695775
"182",46,2,404.306387494226,393.126724961099
"183",46,3,238.018932379243,238.140344624579
"184",46,4,230.186005413078,232.544315522031
"185",47,1,279.232025275194,284.106438633522
"186",47,2,254.207791424155,233.716953829281
"187",47,3,181.659143373868,181.290532125397
"188",47,4,475.898504739167,490.182028707985
"189",48,1,195.149036730444,159.872880614
"190",48,2,216.066235656834,216.44249348892
"191",48,3,152.316775778597,160.593811776894
"192",48,4,290.660649190841,287.698748403942
"193",49,1,212.747424532754,188.240338134151
"194",49,2,455.910642858916,422.228961679922
"195",49,3,331.243795205548,332.976450628069
"196",49,4,231.063746512147,238.834582197142
"197",50,1,249.994584655727,245.059416076793
"198",50,2,598.65760423313,589.775485178862
"199",50,3,203.251613469775,179.440145082939
"200",50,4,239.671171436964,266.004965090943
"201",51,1,271.124651610819,261.302277699625
"202",51,2,509.027463585517,519.947843999541
"203",51,3,247.048561558694,227.147090448362
"204",51,4,121.410890708831,109.971976356425
"205",52,1,264.560490868254,292.871210857304
"206",52,2,355.502041384737,353.211302605928
"207",52,3,162.58859738335,151.743743451252
"208",52,4,176.115106980868,202.927200651268
"209",53,1,271.004749185809,272.546800393927
"210",53,2,473.187449797435,472.907263642176
"211",53,3,326.250875291028,334.077064271698
"212",53,4,356.102522848269,345.965505076996
"213",54,1,181.201526405686,190.386725514323
"214",54,2,629.90033633589,642.908008548252
"215",54,3,272.782472296701,286.300163741422
"216",54,4,211.160058684404,207.220866826798
"217",55,1,148.022970682207,162.914635694206
"218",55,2,382.118576930184,390.394922481726
"219",55,3,513.763617100862,515.742273715166
"220",55,4,333.163246799642,320.453403774943
"221",56,1,424.596675978429,423.610283881861
"222",56,2,203.576432858167,188.243087166784
"223",56,3,175.312178274891,178.424071573269
"224",56,4,225.729428669755,252.450398076363
"225",57,1,458.103731205033,484.922772689346
"226",57,2,218.408921380876,210.576704247448
"227",57,3,251.742608661799,259.705394399961
"228",57,4,233.498703308491,218.10885672919
"229",58,1,216.994516682245,207.125272465556
"230",58,2,165.30548664464,197.528852621304
"231",58,3,254.151666470163,251.666715829054
"232",58,4,154.751785170079,115.765996158942
"233",59,1,355.392958157771,346.919270095002
"234",59,2,413.284753914426,393.330530084635
"235",59,3,332.737660109898,332.664960694893
"236",59,4,155.662855560648,148.709940813391
"237",60,1,207.789632486956,223.359211436981
"238",60,2,466.301660191686,465.957396065791
"239",60,3,165.874829362435,173.470012666814
"240",60,4,273.576721034193,287.513353052225
"241",61,1,290.432165971507,306.634166170231
"242",61,2,444.503752703079,431.469640275207
"243",61,3,242.923638586911,234.972039629255
"244",61,4,307.399196782494,316.29540507812
"245",62,1,229.566079166954,224.828812329069
"246",62,2,202.22152068146,211.469544224743
"247",62,3,345.956970314068,335.973747106877
"248",62,4,276.975443315664,274.429419722543
"249",63,1,311.036237222714,328.400828374569
"250",63,2,233.356970276997,231.377874566796
"251",63,3,188.418170808746,184.56646274898
"252",63,4,267.117841473461,256.065253191625
"253",64,1,262.460641174986,281.034110731098
"254",64,2,339.904141529117,330.587790267787
"255",64,3,318.160426028531,305.448520324268
"256",64,4,235.784599173937,209.841692906661
"257",65,1,242.655013245502,236.035768417282
"258",65,2,228.7757122734,218.292068926326
"259",65,3,218.660293400331,201.939892850728
"260",65,4,228.620107230234,236.83304847272
"261",66,1,208.27375284057,200.411322444403
"262",66,2,328.366339470581,320.528609102212
"263",66,3,257.285249836645,264.77717573935
"264",66,4,469.04832264374,479.181107169848
"265",67,1,229.407090795518,222.132213585743
"266",67,2,238.445545840863,247.706076059199
"267",67,3,204.603246613802,195.969663735753
"268",67,4,258.398250949837,255.082082613655
"269",68,1,339.625671005832,346.384554756769
"270",68,2,332.857286881022,332.926305034667
"271",68,3,449.987485070212,459.985403133498
"272",68,4,408.490185326558,408.588042309988
"273",69,1,236.691588238356,217.16059508993
"274",69,2,304.213466331888,306.777528342575
"275",69,3,648.56236675713,662.116164531014
"276",69,4,307.562541156683,302.386253370435
"277",70,1,278.579748286989,284.466039794008
"278",70,2,127.54772515935,148.482064793685
"279",70,3,226.073474690888,215.009608596888
"280",70,4,203.4564749579,221.658137714993
"281",71,1,313.562744136381,338.435465124516
"282",71,2,444.259296861974,438.965023487401
"283",71,3,315.497666299328,330.963857374782
"284",71,4,108.294596264183,75.2118473529415
"285",72,1,219.493442389488,216.321964881573
"286",72,2,207.925321336713,186.23823236855
"287",72,3,237.975509842268,247.279092405378
"288",72,4,196.200335805635,211.557137027358
"289",73,1,294.878390714073,286.232898743588
"290",73,2,301.455394043482,310.715483736705
"291",73,3,455.857180839052,488.834881297663
"292",73,4,187.544885579274,153.495881865208
"293",74,1,310.386697154752,308.63560507169
"294",74,2,276.394780279291,294.426148928452
"295",74,3,292.649380344491,299.517602928897
"296",74,4,297.12482720146,287.721704361169
"297",75,1,223.556618996459,236.498927239873
"298",75,2,206.534043899801,220.540802560152
"299",75,3,280.058945770958,292.378968981506
"300",75,4,222.508176122889,183.549865533609
"301",76,1,202.748571740454,183.033130301533
"302",76,2,230.351612574587,225.792288292442
"303",76,3,204.70078236088,198.802790483195
"304",76,4,218.811462017394,246.293867244078
"305",77,1,248.846923117852,254.028093459106
"306",77,2,121.853183896597,138.009938910298
"307",77,3,466.812237716449,477.504571170711
"308",77,4,217.778639849352,206.714971505764
"309",78,1,230.026074733655,237.210908808499
"310",78,2,171.458763513159,194.785905859132
"311",78,3,434.27238358716,427.1694498687
"312",78,4,402.837555746113,397.404558241767
"313",79,1,325.603481889737,310.411097212881
"314",79,2,153.811016021742,142.18106831567
"315",79,3,385.670762800505,397.833530687306
"316",79,4,205.795800706093,189.845931218536
"317",80,1,306.130664542651,320.957471205806
"318",80,2,225.517974218094,224.737901694721
"319",80,3,366.249367176885,393.790660448852
"320",80,4,160.88940558313,153.908085962811
"321",81,1,373.233971991301,362.755931787152
"322",81,2,312.054099659095,324.30394804738
"323",81,3,284.828523291803,279.425695695248
"324",81,4,239.781147677823,226.63388110831
"325",82,1,199.771199244637,200.293500073492
"326",82,2,159.701572393938,156.392778094949
"327",82,3,302.840987747668,322.395944095276
"328",82,4,140.717342944405,143.917161233017
"329",83,1,139.4820587665,171.847092973236
"330",83,2,239.69437454324,253.227205273208
"331",83,3,313.431674644495,290.71698253596
"332",83,4,286.477212984883,278.805340592811
"333",84,1,622.910025219593,626.098179631589
"334",84,2,382.969683323015,387.511405807464
"335",84,3,453.301002166731,461.56672021552
"336",84,4,344.781620803163,358.325669104244
"337",85,1,466.346562670336,469.95198376876
"338",85,2,205.938714439536,200.506474176496
"339",85,3,537.988485246375,544.833274435763
"340",85,4,461.225278502137,477.43348144392
"341",86,1,205.125124280059,199.458328987545
"342",86,2,446.947025699929,426.007650557748
"343",86,3,244.999046376662,241.032531773858
"344",86,4,307.383360250734,312.794513035831
"345",87,1,180.96129952016,178.983018721988
"346",87,2,352.661921049148,317.355980273865
"347",87,3,448.533251842863,459.264317567819
"348",87,4,268.263811347801,289.810304378206
"349",88,1,394.096776006627,372.873635660115
"350",88,2,490.211165799341,499.405351926261
"351",88,3,111.769141334627,96.589645629478
"352",88,4,335.119934905564,340.64905583467
"353",89,1,368.956125271091,349.040293034488
"354",89,2,245.086395474625,243.25408397172
"355",89,3,320.02524194057,281.960571242169
"356",89,4,106.811217106216,110.639339732716
"357",90,1,310.917696780993,301.008537561465
"358",90,2,198.736237795792,182.424445111394
"359",90,3,252.708583079356,252.307361978668
"360",90,4,325.835043075572,340.986440825723
"361",91,1,305.981478408551,300.75014136078
"362",91,2,166.287851330384,153.879753903826
"363",91,3,518.413312632905,512.587943534518
"364",91,4,383.436784150785,373.344169822157
"365",92,1,246.595144144865,254.65927401203
"366",92,2,341.693758078566,337.416208099093
"367",92,3,336.628299730548,340.48688475414
"368",92,4,170.844820376422,167.291204630018
"369",93,1,345.220073535925,330.634821127373
"370",93,2,182.179699112377,201.153529719762
"371",93,3,191.899060897131,191.951598947151
"372",93,4,226.016190910791,225.472035236121
"373",94,1,210.214355503785,199.055676427181
"374",94,2,563.95802101316,575.234466412745
"375",94,3,390.626233346999,360.25612158168
"376",94,4,169.429698423616,185.577091125327
"377",95,1,286.28409460767,259.219365987697
"378",95,2,220.054669141237,215.147837574666
"379",95,3,328.000616148272,328.216677953617
"380",95,4,261.632093154408,258.650350967896
"381",96,1,450.563345247023,446.342983648393
"382",96,2,288.609938822315,305.363078206463
"383",96,3,210.153278320843,204.610069196968
"384",96,4,227.590130171261,232.400775671289
"385",97,1,271.928883003127,258.812004904978
"386",97,2,237.514364946559,227.415657894066
"387",97,3,194.292244644437,184.17072549866
"388",97,4,324.64777323187,303.326334883743
"389",98,1,143.223316096426,161.547121355761
"390",98,2,200.096430846944,184.162194820147
"391",98,3,242.824579535842,255.710260046478
"392",98,4,390.890083646872,395.026181170336
"393",99,1,200.266873237475,200.851176387705
"394",99,2,223.274858824892,222.034703129055
"395",99,3,326.617683525448,308.693826359401
"396",99,4,174.429251919151,156.928638204122
"397",100,1,426.07549151621,430.724016705782
"398",100,2,338.174566087391,346.832468674342
"399",100,3,184.276234099251,173.06543566985
"400",100,4,478.926572285606,488.638074472699
"401",101,1,189.538797654161,204.920911295387
"402",101,2,278.355302994142,276.728661367086
"403",101,3,499.466153109614,517.473141145351
"404",101,4,172.358931686434,179.753365213953
"405",102,1,250.464878796075,253.795994773158
"406",102,2,349.698554727523,354.01047114067
"407",102,3,247.180352073518,256.929748706675
"408",102,4,179.785607823038,192.541084117108
