"","sim.num","sample.num","tru.rba","tru.ivb","meas.ivb"
"4450",1113,2,34.3825224802786,42.3605039638708,41.9510518268698
"4451",1113,3,14.3527387985237,19.5475384949017,16.452544503936
"4452",1113,4,33.1457623007765,40.9518932810667,41.8392031315143
"4453",1114,1,7.70617769962366,11.9774233480907,12.2963842327791
"4454",1114,2,50.8383131017371,61.1028623026618,57.9161004645043
"4455",1114,3,24.7417253610522,31.3800972221551,29.9753105287414
"4456",1114,4,25.3746903831453,32.1010141038101,31.6833321758331
"4457",1115,1,42.9856083688956,52.1590072538675,51.6489062468788
"4458",1115,2,29.0711434930229,36.3110973724635,35.8457564315175
"4459",1115,3,18.0050603847725,23.7073580692169,22.2177878005131
"4460",1115,4,52.8626773751566,63.4085163726157,64.1188756494406
"4461",1116,1,8.25206855390062,12.5991669178823,11.6936418787094
"4462",1116,2,33.3272121101989,41.1585559341673,41.2215086230634
"4463",1116,3,40.6896738340626,49.5440476469962,51.1729095952063
"4464",1116,4,17.3822356589007,22.9979904998869,22.0348844680823
"4465",1117,1,28.7784211729917,35.9777006526101,36.3513554133779
"4466",1117,2,34.3809618302119,42.3587264581001,45.0969985300224
"4467",1117,3,38.0277699980254,46.5122665125574,45.5568552573678
"4468",1117,4,38.516778962627,47.0692243310102,48.1340426980143
"4469",1118,1,24.070777555761,30.6159197673815,29.8556272379558
"4470",1118,2,18.235279823264,23.9695669968838,24.8794439141057
"4471",1118,3,22.5859217597307,28.9247400452513,28.6076828906597
"4472",1118,4,39.3876712330744,48.0611289670551,48.2665827368484
"4473",1119,1,20.4630608604384,26.5069030301121,27.0486070796191
"4474",1119,2,13.5322768464988,18.6130715791558,19.2219507023031
"4475",1119,3,32.5157655755111,40.2343571475069,38.8397110051753
"4476",1119,4,20.334072490044,26.3599914465193,23.9119994097997
"4477",1120,1,38.080166374789,46.5719434792586,45.2041251217809
"4478",1120,2,52.8273312766679,63.3682588572527,62.7516212887734
"4479",1120,3,11.0166363820835,15.7478774283411,16.5904610139172
"4480",1120,4,20.1214024068786,26.1177703950781,25.4526320362277
"4481",1121,1,44.8818941245396,54.3187860188378,52.3666478380321
"4482",1121,2,27.6589761470617,34.7027063178379,35.750647154676
"4483",1121,3,35.1906751326196,43.2809511761044,43.5271390371356
"4484",1121,4,40.2588214502133,49.0533273920425,48.9021236482971
"4485",1122,1,41.8277824935634,50.8402989676121,53.2432627821257
"4486",1122,2,38.8256529554679,47.4210170335625,48.9634633131818
"4487",1122,3,36.4008847922147,44.6593220868049,46.3331868599085
"4488",1122,4,19.937585947706,25.908412241123,26.2930146956739
"4489",1123,1,40.8907007527221,49.7730076910275,49.5458436550473
"4490",1123,2,16.6154342901755,22.1246404216122,22.7130976292202
"4491",1123,3,36.1040485524179,44.321239809132,43.7799888169007
"4492",1123,4,20.0680710698084,26.0570285533126,24.1440290493334
"4493",1124,1,8.18345679796623,12.5210214099843,9.33071024633023
"4494",1124,2,45.8127682840079,55.3790071571844,56.2315624433683
"4495",1124,3,35.8386199836689,44.0189293663655,43.6184129086951
"4496",1124,4,31.0924811360717,38.6133042552069,36.1327318005458
"4497",1125,1,61.2462164811695,72.9569663794642,75.3246823113091
"4498",1125,2,19.4501040528302,25.3531936820389,25.3329454832034
"4499",1125,3,15.9366139629817,21.3514965409815,21.0282695359528
"4500",1125,4,27.1580033156359,34.1321222273757,34.6982601851283
"4501",1126,1,40.1685888522275,48.9505567793024,52.2432382419088
"4502",1126,2,23.453438746074,29.9128003941617,30.9869313457646
"4503",1126,3,23.6692864957001,30.1586406556949,31.4514501756729
"4504",1126,4,27.7478638519574,34.8039451616827,37.204216082136
"4505",1127,1,16.0299560981994,21.4578087678808,19.3048407855197
"4506",1127,2,28.9105265399948,36.1281623462355,36.0366610031467
"4507",1127,3,46.286519682862,55.9185873381116,53.8554180503651
"4508",1127,4,23.1455882305176,29.5621733832774,31.7050793807761
"4509",1128,1,30.3669833448555,37.7869969759175,39.745225111686
"4510",1128,2,40.9693830020847,49.8626230092081,52.5282812417245
"4511",1128,3,31.5121788063733,39.0913198250266,41.116631049472
"4512",1128,4,26.8046754050118,33.7296986389656,36.2941371679502
"4513",1129,1,31.921289044137,39.5572768156458,41.5528879718705
"4514",1129,2,25.3204583927311,32.0392464609693,29.368358068639
"4515",1129,3,9.28328061895846,13.7736681309322,11.9402993013517
"4516",1129,4,25.6477839883128,32.4120546563927,34.5698699921758
"4517",1130,1,21.7321541009414,27.9523395227123,29.3303033885866
"4518",1130,2,41.2057531418988,50.1318372914565,49.4525074578334
"4519",1130,3,9.13861739911299,13.6089036436367,16.0537747762239
"4520",1130,4,44.2948674293098,53.6501906939748,55.3038893492572
"4521",1131,1,28.1376075814281,35.2478446257723,35.684494215431
"4522",1131,2,23.1319769232199,29.5466707553758,27.2758543199967
"4523",1131,3,29.8751015607224,37.2267671534424,37.0376079143433
"4524",1131,4,6.75734411087402,10.8967472788998,12.2422637131875
"4525",1132,1,46.6805224346779,56.3673376249179,57.9119089757255
"4526",1132,2,50.7416837564394,60.9928061007283,61.727824267787
"4527",1132,3,12.1080470037434,16.9909419177032,19.1457679090858
"4528",1132,4,28.8766940845741,36.0896287979204,35.2037467997646
"4529",1133,1,35.3870206156236,43.5045792888651,42.0660048143898
"4530",1133,2,12.011882571626,16.8814152296423,16.9188455815014
"4531",1133,3,51.885584906963,62.2956547915296,64.4179635223919
"4532",1133,4,32.1842664514955,39.8567955028422,39.5435080326914
"4533",1134,1,35.6632968803162,43.8192447384011,46.1042973610068
"4534",1134,2,14.8518545334897,20.1160074413322,18.1484950822384
"4535",1134,3,40.0045659036488,48.7637424870716,48.2221597483667
"4536",1134,4,51.0939758774132,61.3940499742747,62.5629064180733
"4537",1135,1,39.1356751542568,47.774117487764,48.8204757461814
"4538",1135,2,25.4889805085847,32.2311850895042,32.1584596350152
"4539",1135,3,11.9636163821487,16.8264423486887,19.6226617514773
"4540",1135,4,36.0012511290955,44.2041584613844,43.3123375585305
"4541",1136,1,24.926220473519,31.5902283297483,33.9366944350152
"4542",1136,2,29.5728962865126,36.8825698024061,33.671070616433
"4543",1136,3,26.8856226971775,33.8218937325484,35.3109589679891
"4544",1136,4,27.1508490666739,34.1239738800386,34.2325854779431
"4545",1137,1,28.8021973702297,36.0047806039063,36.5671697276053
"4546",1137,2,7.82261722184366,12.1100423938994,9.68122280943868
"4547",1137,3,3.09335969133893,6.72364429537463,4.8452565512825
"4548",1137,4,16.5297475808211,22.0270473585662,23.9716730993466
"4549",1138,1,34.2303231724026,42.1871562328048,42.0802244069142
"4550",1138,2,23.509586334505,29.9767498115091,33.2962675325803
"4551",1138,3,23.8361893707427,30.3487350464039,30.1859181763462
"4552",1138,4,34.7714142933177,42.8034331358972,42.7685983165343
"4553",1139,1,25.2869720707048,32.0011071420328,30.5607885687391
"4554",1139,2,49.233007578345,59.2744961028987,59.6518017351323
"4555",1139,3,17.9701961523237,23.6676493762229,26.9301798716292
"4556",1139,4,41.6472094081991,50.6346348612746,48.6481914752343
"4557",1140,1,31.1637545888117,38.6944813084416,37.8790014367429
"4558",1140,2,38.9253464164351,47.5345631166687,43.3983669257796
"4559",1140,3,28.6845577391325,35.8707946914949,36.5836068847702
"4560",1140,4,27.7151368715606,34.7666706965382,36.012559765004
"4561",1141,1,38.1935001131574,46.7010251858285,45.2748684677787
"4562",1141,2,9.17542519352968,13.65082596074,14.7682793451735
"4563",1141,3,21.6432587420612,27.8510919613454,26.2587347891883
"4564",1141,4,28.2004041630193,35.319366928268,33.4016089762035
"4565",1142,1,37.3804003504576,45.7749434515463,45.289713214371
"4566",1142,2,31.6631421581701,39.2632598612416,40.5970559393361
"4567",1142,3,25.3904639892478,32.1189794866148,30.9357245470227
"4568",1142,4,24.2101680129813,30.7746788302749,32.0683905117614
"4569",1143,1,27.9636249532834,35.0496867349469,31.0885062750549
"4570",1143,2,21.4959098260723,27.6832685946154,27.5840587773276
"4571",1143,3,36.9590253245438,45.2950174539223,44.6196502065102
"4572",1143,4,20.6408882191966,26.7094398851898,26.1785343135561
"4573",1144,1,29.4180567734389,36.7062150039167,37.1046644342339
"4574",1144,2,31.439400342268,39.0084286358405,37.6597514133759
"4575",1144,3,33.7923214817984,41.6882932594514,42.933481325571
"4576",1144,4,30.4673425973798,37.9013013637584,35.3207893302614
"4577",1145,1,25.8248326262974,32.6137045857601,32.2318701081601
"4578",1145,2,31.095199833657,38.616400721705,36.5895555859986
"4579",1145,3,14.0321152980469,19.1823636652015,18.8564057579458
"4580",1145,4,28.2021924682949,35.3214037224316,35.9904310598935
"4581",1146,1,22.196112785972,28.4807662710388,27.8489907654313
"4582",1146,2,29.7034614591973,37.0312772883796,36.1859835160737
"4583",1146,3,16.4772509879877,21.9672562505555,23.9634085441063
"4584",1146,4,41.3482590710664,50.294144727866,50.0601258355365
"4585",1147,1,9.1203697227599,13.5881204131662,14.2939595799009
"4586",1147,2,22.3593044036867,28.666633717183,29.6132306992368
"4587",1147,3,52.2762492777152,62.740602821999,62.7120000750807
"4588",1147,4,39.5401870920157,48.234837234642,47.3287480748357
"4589",1148,1,21.5082717765939,27.6973482649133,30.3622090547221
"4590",1148,2,28.7672254594335,35.9649492704254,37.223311940336
"4591",1148,3,0.27102216472856,3.50913686187763,1.86205378182011
"4592",1148,4,18.2034298133741,23.933291359196,23.7047143144436
"4593",1149,1,28.4058323596082,35.5533398173215,32.7727046445866
"4594",1149,2,43.416613769315,52.6499017873747,50.408226749391
"4595",1149,3,30.433277013626,37.8625022934237,36.656325137912
"4596",1149,4,31.4915942602567,39.0678750116819,37.3446511440148
"4597",1150,1,11.9028844364874,16.7572715677533,17.4778259907703
"4598",1150,2,25.1913095738676,31.8921521342456,31.2985229738007
"4599",1150,3,24.4081868207407,31.0002127798869,30.5105995154857
"4600",1150,4,34.4688724906979,42.4588524951001,45.220127668208
"4601",1151,1,35.0977152552541,43.1750743226129,43.5932119917966
"4602",1151,2,24.7876962689935,31.4324558872363,25.9191756162988
"4603",1151,3,19.1281560199638,24.9865102733073,22.4264628880448
"4604",1151,4,22.0216195855348,28.2820268627959,31.0963070713773
"4605",1152,1,38.3784845887454,46.9117136546075,47.9556663571183
"4606",1152,2,44.7515244871785,54.1703012382443,54.9344655097734
"4607",1152,3,32.4695793952411,40.1817532975411,38.8090800806325
"4608",1152,4,19.4459785608516,25.3484949440223,24.0464837252855
"4609",1153,1,25.3471668679779,32.0696661366491,31.1783449425395
"4610",1153,2,29.9304945823707,37.2898571553197,37.7946584247575
"4611",1153,3,33.2058189775063,41.0202949629912,40.2959337667644
"4612",1153,4,20.5601232781575,26.6174524808172,25.7170157824244
"4613",1154,1,30.0918186555243,37.4735975575447,36.4946005247525
"4614",1154,2,50.3369237881906,60.531803858987,60.2557285616983
"4615",1154,3,22.6591680397333,29.008164054366,28.2922561267661
"4616",1154,4,41.950334074571,50.9798793560035,51.7725069153526
"4617",1155,1,22.0132592734241,28.2725048672256,28.3690607099252
"4618",1155,2,16.1822383915674,21.6312510154526,22.5654331585198
