"","sim.num","sample.num","incr.num","sim.value"
"118",30,2,1,897.230320872836
"119",30,3,1,1113.29480173783
"120",30,4,1,857.521930742797
"121",31,1,1,1071.28757691783
"122",31,2,1,802.438810714492
"123",31,3,1,826.89488567743
"124",31,4,1,731.010710718735
"125",32,1,1,989.879504983181
"126",32,2,1,998.638531853593
"127",32,3,1,860.363022586229
"128",32,4,1,398.539640369196
"129",33,1,1,653.094013613389
"130",33,2,1,991.732759406548
"131",33,3,1,675.746167657182
"132",33,4,1,757.533959462951
"133",34,1,1,949.536390489044
"134",34,2,1,1074.27339234522
"135",34,3,1,1435.72164559125
"136",34,4,1,434.570244525746
"137",35,1,1,653.091514996831
"138",35,2,1,677.672336214724
"139",35,3,1,928.39144476607
"140",35,4,1,509.076981901101
"141",36,1,1,940.909960963247
"142",36,2,1,634.042056580434
"143",36,3,1,602.279613837967
"144",36,4,1,534.046498490329
"145",37,1,1,429.778238893032
"146",37,2,1,1394.6958687393
"147",37,3,1,972.56121082822
"148",37,4,1,811.079688506908
"149",38,1,1,924.545986315973
"150",38,2,1,429.426717385024
"151",38,3,1,1030.94511201525
"152",38,4,1,891.159572471149
"153",39,1,1,523.525861632829
"154",39,2,1,784.209319703312
"155",39,3,1,693.547670878369
"156",39,4,1,880.414169289514
"157",40,1,1,802.21557347693
"158",40,2,1,648.777692060116
"159",40,3,1,618.135113980826
"160",40,4,1,1056.67413351961
"161",41,1,1,381.161879086419
"162",41,2,1,802.958601096555
"163",41,3,1,623.51409826062
"164",41,4,1,1491.03560144551
"165",42,1,1,526.510859125068
"166",42,2,1,480.14576867802
"167",42,3,1,1120.62292130177
"168",42,4,1,1073.87173559724
"169",43,1,1,474.559172993323
"170",43,2,1,1019.46368897946
"171",43,3,1,796.447919510725
"172",43,4,1,344.376094555871
"173",44,1,1,904.63256179374
"174",44,2,1,671.987978980514
"175",44,3,1,436.197903883728
"176",44,4,1,695.527399175833
"177",45,1,1,993.987558697417
"178",45,2,1,552.015227975673
"179",45,3,1,446.187322767694
"180",45,4,1,1034.2405201908
"181",46,1,1,573.497221855932
"182",46,2,1,851.103984054504
"183",46,3,1,1177.90714858802
"184",46,4,1,639.667499235162
"185",47,1,1,668.63136869607
"186",47,2,1,681.034388990243
"187",47,3,1,592.860753240402
"188",47,4,1,744.902579347286
"189",48,1,1,898.997518571982
"190",48,2,1,1082.94593140787
"191",48,3,1,865.050426244883
"192",48,4,1,1295.5033364728
"193",49,1,1,885.973741029928
"194",49,2,1,1658.08865618199
"195",49,3,1,799.535745609209
"196",49,4,1,1804.53504316693
"197",50,1,1,916.149307257913
"198",50,2,1,1334.04083893807
"199",50,3,1,494.817865725458
"200",50,4,1,865.544599094992
"201",51,1,1,878.698171121518
"202",51,2,1,474.164230356814
"203",51,3,1,405.539129713964
"204",51,4,1,569.976618224471
"205",52,1,1,687.633500605126
"206",52,2,1,710.707834088945
"207",52,3,1,1610.88417019552
"208",52,4,1,1104.36479060628
"209",53,1,1,886.481241949331
"210",53,2,1,1229.83836650561
"211",53,3,1,521.3313257207
"212",53,4,1,749.379380608016
"213",54,1,1,590.287000815263
"214",54,2,1,647.240213528531
"215",54,3,1,848.44863716296
"216",54,4,1,961.965152565459
"217",55,1,1,328.638784057841
"218",55,2,1,433.729039275932
"219",55,3,1,680.435479386476
"220",55,4,1,1030.36547609717
"221",56,1,1,871.95867516684
"222",56,2,1,540.838530919302
"223",56,3,1,1108.11102344449
"224",56,4,1,846.687195097199
"225",57,1,1,1147.88987221914
"226",57,2,1,671.09429177484
"227",57,3,1,1140.98423767984
"228",57,4,1,943.197899726291
"229",58,1,1,700.414493369967
"230",58,2,1,636.114007632344
"231",58,3,1,689.069381873036
"232",58,4,1,1324.97282568947
"233",59,1,1,619.013542694336
"234",59,2,1,767.179660788031
"235",59,3,1,819.307504290828
"236",59,4,1,951.044664085976
"237",60,1,1,976.730035238853
"238",60,2,1,1392.34095760366
"239",60,3,1,491.044408557787
"240",60,4,1,1353.11991169699
"241",61,1,1,983.343448834288
"242",61,2,1,1013.88110258601
"243",61,3,1,746.493741594697
"244",61,4,1,421.021189015222
"245",62,1,1,645.280407887149
"246",62,2,1,885.900119998237
"247",62,3,1,889.22784321247
"248",62,4,1,524.463897120013
"249",63,1,1,1075.11843501173
"250",63,2,1,952.449455987131
"251",63,3,1,1263.13235546456
"252",63,4,1,694.43981054557
"253",64,1,1,1100.53449577173
"254",64,2,1,526.070647909807
"255",64,3,1,554.245623747793
"256",64,4,1,1042.58344704256
"257",65,1,1,497.265356317942
"258",65,2,1,630.084385558597
"259",65,3,1,736.196164264341
"260",65,4,1,728.019298663864
"261",66,1,1,1189.62137271596
"262",66,2,1,690.026255508026
"263",66,3,1,734.719230717015
"264",66,4,1,854.937006516899
"265",67,1,1,911.375322926978
"266",67,2,1,894.274329755413
"267",67,3,1,1161.02361675521
"268",67,4,1,728.238327284624
"269",68,1,1,656.966194448796
"270",68,2,1,613.876852846164
"271",68,3,1,519.50465358734
"272",68,4,1,1167.07103156262
"273",69,1,1,542.904009744912
"274",69,2,1,491.913000751551
"275",69,3,1,1255.17308390496
"276",69,4,1,670.180459098857
"277",70,1,1,729.997920970142
